C_size,A_size,B_size,difficulty,#distinguished_points,#distinguished_points_log2,#collisions,#updates,time(sec)
1, 1, 1, 3, 2661, 11.377753, 2298, 10, 0.0631917
1, 1, 1, 3, 1924, 10.909893, 1493, 8, 0.0745919
1, 1, 1, 3, 2133, 11.058668, 1901, 8, 0.0419843
1, 1, 1, 3, 1016, 9.988685, 754, 4, 0.0355856
1, 1, 1, 3, 271, 8.082149, 240, 1, 0.00870371
1, 1, 1, 3, 1534, 10.583083, 1351, 6, 0.0491741
1, 1, 1, 3, 1394, 10.445015, 1187, 5, 0.0539718
1, 1, 1, 3, 5366, 12.389631, 4545, 21, 0.144251
1, 1, 1, 3, 1735, 10.760720, 1434, 6, 0.021023
1, 1, 1, 3, 508, 8.988685, 454, 1, 0.00269413
1, 1, 1, 3, 8445, 13.043882, 7325, 30, 0.137705
1, 1, 1, 3, 1710, 10.739781, 1419, 7, 0.0576265
1, 1, 1, 3, 3500, 11.773139, 2870, 14, 0.115216
1, 1, 1, 3, 9935, 13.278304, 8500, 39, 0.261507
1, 1, 1, 3, 3073, 11.585432, 2695, 11, 0.047147
1, 1, 1, 3, 7304, 12.834471, 6364, 27, 0.145929
1, 1, 1, 3, 61, 5.930737, 54, 0, 0.00259686
1, 1, 1, 3, 1707, 10.737247, 1382, 6, 0.0180976
1, 1, 1, 3, 2709, 11.403545, 2281, 10, 0.0672803
1, 1, 1, 3, 5273, 12.364408, 4349, 21, 0.187484
1, 1, 1, 3, 1383, 10.433585, 1177, 5, 0.0348072
1, 1, 1, 3, 4106, 12.003518, 3499, 14, 0.0556355
1, 1, 1, 3, 2565, 11.324743, 2144, 10, 0.0663559
1, 1, 1, 3, 2738, 11.418907, 2363, 10, 0.0462065
1, 1, 1, 3, 817, 9.674192, 662, 3, 0.0203283
1, 1, 1, 3, 4176, 12.027906, 3521, 15, 0.0776978
1, 1, 1, 3, 1924, 10.909893, 1627, 8, 0.0695782
1, 1, 1, 3, 450, 8.813781, 384, 2, 0.0281513
1, 1, 1, 3, 3557, 11.796445, 2914, 16, 0.171566
2, 2, 2, 0, 453154, 18.789642, 180933, 6, 0.201052
2, 2, 2, 0, 745647, 19.508133, 300004, 10, 0.330753
2, 2, 2, 0, 896691, 19.774251, 360065, 12, 0.397959
2, 2, 2, 0, 633724, 19.273495, 255005, 8, 0.280798
2, 2, 2, 0, 590577, 19.171766, 237839, 8, 0.261846
2, 2, 2, 0, 1415620, 20.433003, 572406, 19, 0.626849
2, 2, 2, 0, 2605308, 21.313023, 1059604, 35, 1.15962
2, 2, 2, 0, 95396, 16.541641, 35622, 1, 0.0410945
2, 2, 2, 0, 126065, 16.943808, 49912, 1, 0.0554276
2, 2, 2, 0, 443828, 18.759641, 178756, 6, 0.197389
2, 2, 2, 0, 1836155, 20.808256, 742623, 25, 0.815301
2, 2, 2, 0, 187927, 17.519813, 74436, 2, 0.0838118
2, 2, 2, 0, 1852455, 20.821007, 749604, 25, 0.829189
2, 2, 2, 0, 818176, 19.642052, 330040, 11, 0.383407
2, 2, 2, 0, 177781, 17.439742, 69266, 2, 0.0830076
2, 2, 2, 0, 1708472, 20.704275, 690982, 23, 0.787899
2, 2, 2, 0, 732236, 19.481949, 295969, 10, 0.354951
2, 2, 2, 0, 969451, 19.886808, 390796, 13, 0.563852
2, 2, 2, 0, 239189, 17.867792, 94154, 3, 0.112656
2, 2, 2, 0, 545774, 19.057944, 219131, 7, 0.249717
2, 2, 2, 0, 299807, 18.193675, 120144, 4, 0.135533
2, 2, 2, 0, 1127373, 20.104533, 456156, 15, 0.669552
2, 2, 2, 0, 96500, 16.558241, 36179, 1, 0.0652697
2, 2, 2, 0, 2351347, 21.165056, 953430, 32, 1.09705
2, 2, 2, 0, 1855531, 20.823401, 747940, 25, 0.804739
2, 2, 2, 0, 2561978, 21.288827, 1036898, 35, 1.1514
2, 2, 2, 0, 76243, 16.218317, 29816, 1, 0.0352986
2, 2, 2, 0, 2704997, 21.367196, 1097769, 37, 1.1793
2, 2, 2, 0, 915813, 19.804694, 369861, 12, 0.408291
2, 2, 2, 0, 117117, 16.837591, 45513, 1, 0.0486619
2, 2, 2, 1, 205552, 17.649144, 141107, 2, 0.196335
2, 2, 2, 1, 780600, 19.574224, 538955, 10, 0.756001
2, 2, 2, 1, 55491, 15.759966, 37351, 0, 0.0508122
2, 2, 2, 1, 262539, 18.002172, 179245, 3, 0.251505
2, 2, 2, 1, 3168641, 21.595433, 2190209, 43, 3.18557
2, 2, 2, 1, 448836, 18.775829, 308238, 6, 0.46523
2, 2, 2, 1, 171610, 17.388774, 115047, 2, 0.175072
2, 2, 2, 1, 229759, 17.809762, 155921, 3, 0.234056
2, 2, 2, 1, 833146, 19.668210, 574966, 11, 0.871068
2, 2, 2, 1, 395787, 18.594365, 271555, 5, 0.41901
2, 2, 2, 1, 28485, 14.797915, 16365, 0, 0.0267673
2, 2, 2, 1, 816432, 19.638973, 563359, 11, 0.863166
2, 2, 2, 1, 638253, 19.283769, 441822, 8, 0.677449
2, 2, 2, 1, 742631, 19.502286, 512353, 10, 0.740183
2, 2, 2, 1, 1494107, 20.510852, 1033305, 20, 1.52445
2, 2, 2, 1, 2508053, 21.258136, 1734232, 34, 2.50581
2, 2, 2, 1, 445670, 18.765616, 305291, 6, 0.436787
2, 2, 2, 1, 281548, 18.103021, 194568, 3, 0.278296
2, 2, 2, 1, 1774625, 20.759083, 1227635, 24, 1.75305
2, 2, 2, 1, 2275928, 21.118023, 1575394, 31, 2.24351
2, 2, 2, 1, 2885038, 21.460159, 1999603, 39, 2.90319
2, 2, 2, 1, 515109, 18.974518, 356200, 7, 0.549288
2, 2, 2, 1, 324255, 18.306769, 222115, 4, 0.333933
2, 2, 2, 1, 686505, 19.388911, 472458, 9, 0.710564
2, 2, 2, 1, 117458, 16.841785, 78982, 1, 0.125347
2, 2, 2, 1, 336736, 18.361258, 231780, 4, 0.347744
2, 2, 2, 1, 34507, 15.074601, 20911, 0, 0.034312
2, 2, 2, 1, 956071, 19.866758, 658638, 13, 0.968321
2, 2, 2, 1, 240571, 17.876103, 163033, 3, 0.250927
2, 2, 2, 1, 577405, 19.139224, 400489, 7, 0.578399
2, 2, 2, 2, 107420, 16.712903, 93010, 1, 0.203199
2, 2, 2, 2, 7279, 12.829525, 4145, 0, 0.0117371
2, 2, 2, 2, 1099393, 20.068276, 972656, 15, 2.13205
2, 2, 2, 2, 2352857, 21.165982, 2083760, 32, 4.44016
2, 2, 2, 2, 2271058, 21.114933, 2010650, 31, 4.39421
2, 2, 2, 2, 220498, 17.750406, 194147, 3, 0.421112
2, 2, 2, 2, 1339417, 20.353174, 1184811, 18, 2.59083
2, 2, 2, 2, 812507, 19.632021, 718220, 11, 1.68463
2, 2, 2, 2, 837481, 19.675697, 740768, 11, 1.60748
2, 2, 2, 2, 1203663, 20.199000, 1064989, 16, 2.33573
